query_id,client_email,client_mobile,query_heading,query_description,status,date_raised,date_closed
Q0023,orozcobrandon@example.net,1235104093,Feature Request,Requesting PDF report generation.,Closed,4/26/2025,4/29/2025
Q0024,johnsonnicholas@example.org,4288812024,Account Suspension,Terms of use were unclear.,Closed,2/10/2025,2/13/2025
Q0025,thomas14@example.net,8179811997,Bug Report,Search bar resets randomly.,Closed,4/1/2025,4/13/2025
Q0026,robinwiggins@example.net,9428958105,Technical Support,Slow performance during peak hours.,Closed,5/28/2025,6/1/2025
Q0027,fostermegan@example.org,4441447695,Subscription Cancellation,App locked after cancellation.,Closed,3/17/2025,3/19/2025
Q0028,woodmichael@example.com,6460794942,Technical Support,Download button is inactive.,Closed,7/3/2025,7/5/2025
Q0029,rachaelcobb@example.net,9777668613,UI Feedback,Buttons overlap on smaller screens.,Closed,4/23/2025,5/3/2025
Q0030,robertsconnie@example.net,1304088049,Billing Problem,Unable to update billing address.,Closed,7/18/2025,7/25/2025
Q0031,keithcontreras@example.org,4915591174,Bug Report,Back button doesn’t work.,Closed,6/7/2025,6/10/2025
Q0032,ryanwilcox@example.com,818425068,Bug Report,Dropdown not loading values.,Closed,3/19/2025,3/20/2025
Q0033,pross@example.net,4162709388,Subscription Cancellation,Wrong account cancelled.,Closed,6/15/2025,6/19/2025
Q0034,victorgonzalez@example.org,4779789604,Payment Failure,Payment failed due to card error.,Closed,4/1/2025,4/8/2025
Q0035,zallen@example.com,4530781588,Technical Support,Freezing during screen load.,Closed,6/25/2025,6/30/2025
Q0036,nbeard@example.org,242959217,Feature Request,Multi-user role system would help.,Closed,7/16/2025,7/17/2025
Q0037,aaron20@example.org,2099154981,Feature Request,Add folder structure to organize data.,Closed,6/5/2025,6/11/2025
Q0038,david27@example.com,9058805245,UI Feedback,Dark mode missing in login.,Closed,7/19/2025,7/26/2025
Q0039,kristen99@example.org,9634484656,Technical Support,Download button is inactive.,Closed,4/7/2025,4/9/2025
Q0040,hyoung@example.com,2052334703,Payment Failure,Charged twice for one payment.,Opened,7/20/2025,
Q0041,brandonrich@example.org,9722727167,Feature Request,Need in-app video tutorials.,Closed,6/24/2025,6/25/2025
Q0042,kellyblack@example.net,1283541419,Feature Request,Include a mobile-first UI option.,Closed,2/23/2025,2/27/2025
Q0043,cyoung@example.com,6654327583,Bug Report,Unable to delete old entries.,Closed,6/7/2025,6/8/2025
Q0044,mcdonaldchelsea@example.net,3184013731,Data Export,Exported PDF looks blank.,Closed,5/26/2025,6/12/2025
Q0045,bryantsydney@example.com,5292505993,UI Feedback,Filter section takes too much space.,Closed,4/6/2025,4/8/2025
Q0046,turnerjerome@example.com,8401095516,Feature Request,Need in-app video tutorials.,Closed,4/10/2025,4/11/2025
Q0047,hobbsbrian@example.com,689770710,UI Feedback,Color scheme hard to read in sunlight.,Closed,2/22/2025,2/27/2025
Q0048,ogordon@example.net,7530165333,Account Suspension,Got a warning mail I don’t understand.,Closed,4/9/2025,4/14/2025
Q0049,lori61@example.org,5625215460,Technical Support,White screen on startup.,Closed,2/13/2025,2/21/2025
Q0050,alexandriajohnson@example.org,8172065417,Login Issue,Forgot my password and reset isn’t working.,Closed,2/17/2025,3/2/2025
Q0051,oburns@example.net,9180520966,Subscription Cancellation,Auto-renew not turned off.,Closed,4/12/2025,4/19/2025
Q0052,nmartinez@example.org,2094516406,UI Feedback,Color scheme hard to read in sunlight.,Closed,7/24/2025,8/8/2025
Q0053,fieldsgeorge@example.org,7586052409,Technical Support,Settings not saving properly.,Closed,2/11/2025,2/17/2025
Q0054,frangel@example.com,941377753,Bug Report,Tab focus jumps incorrectly.,Closed,3/17/2025,3/23/2025
Q0055,alexis63@example.net,47574843,Data Export,Time range in export is incorrect.,Closed,7/14/2025,7/17/2025
Q0056,mckenziemichael@example.org,2634161688,Subscription Cancellation,Received cancellation email but charged again.,Closed,3/15/2025,3/18/2025
Q0057,jenkinsdavid@example.net,2150242565,Billing Problem,Duplicate transaction found.,Closed,4/29/2025,5/10/2025
Q0058,bmayo@example.net,926809499,Subscription Cancellation,App locked after cancellation.,Closed,6/19/2025,6/20/2025
Q0059,wangjames@example.net,7930553343,Bug Report,Color scheme inconsistent.,Closed,2/8/2025,2/10/2025
Q0060,mkelly@example.net,8686528317,Subscription Cancellation,Still charged after cancellation.,Closed,4/2/2025,4/12/2025
Q0061,morgandennis@example.org,6983259347,Billing Problem,Incorrect tax calculations.,Closed,2/16/2025,2/20/2025
Q0062,jamesjose@example.com,9439242759,Bug Report,Color scheme inconsistent.,Closed,5/27/2025,6/1/2025
Q0063,barnesbrian@example.com,6930315191,Technical Support,Can’t sync data across devices.,Closed,4/23/2025,4/28/2025
Q0064,barbaraturner@example.org,8680361202,Technical Support,Notifications are not working.,Closed,4/5/2025,4/9/2025
Q0065,gibsonsandra@example.com,7766813709,Subscription Cancellation,Need proof of cancellation for records.,Closed,5/10/2025,5/18/2025
Q0066,jamessmith@example.net,7754111527,Subscription Cancellation,Was offered discount after cancel — still charged full.,Closed,2/25/2025,3/3/2025
Q0067,robertscott@example.com,859123926,UI Feedback,Buttons overlap on smaller screens.,Closed,2/22/2025,3/1/2025
Q0068,anitasimpson@example.com,1897579169,Technical Support,Download button is inactive.,Closed,7/21/2025,7/29/2025
Q0069,marvinsalazar@example.org,7900522187,Subscription Cancellation,Cannot downgrade before cancel.,Closed,2/13/2025,2/16/2025
Q0070,bookerphilip@example.net,7305371337,UI Feedback,Dark mode missing in login.,Closed,6/3/2025,6/7/2025
Q0071,amber72@example.org,2980576692,Data Export,Need monthly data dump in CSV.,Closed,6/8/2025,6/22/2025
Q0072,sclark@example.net,8362255680,Login Issue,Captcha keeps looping during login.,Closed,5/2/2025,5/5/2025
Q0073,robert66@example.net,508444117,Billing Problem,Billing cycle was reset unexpectedly.,Closed,7/12/2025,7/14/2025
Q0074,mirandahernandez@example.com,1073820068,Data Export,Can’t schedule data export.,Closed,3/5/2025,3/6/2025
Q0075,erinmason@example.net,3020699159,Feature Request,Can you include language translation?,Closed,5/12/2025,5/18/2025
Q0076,dakotamorris@example.net,504447849,UI Feedback,Filter section takes too much space.,Closed,6/9/2025,6/11/2025
Q0077,kevinharvey@example.com,3516084282,Technical Support,Can’t install latest update.,Closed,5/7/2025,5/9/2025
Q0078,jacksonbarry@example.net,5210201985,Login Issue,Account seems to be disabled.,Closed,5/19/2025,5/29/2025
Q0079,crystal87@example.net,5640491245,Billing Problem,Refund not credited after 7 days.,Closed,2/1/2025,2/6/2025
Q0080,stephenswilliam@example.org,6301693680,Login Issue,Seeing 'invalid session token' error.,Closed,2/3/2025,2/5/2025
Q0081,brandonpugh@example.org,1124454576,Billing Problem,Charged extra on my last invoice.,Closed,2/25/2025,3/6/2025
Q0082,myerstina@example.org,9628184277,Payment Failure,Payment shows success but app locked.,Closed,4/18/2025,4/24/2025
Q0083,reedrebecca@example.net,168975882,Account Suspension,Can I restore my data after suspension?,Closed,7/25/2025,7/27/2025
Q0084,moorevictoria@example.net,5627021079,Feature Request,Add AI auto-suggestions for forms.,Closed,7/21/2025,7/22/2025
Q0085,angelamora@example.net,589881633,Data Export,Data export not matching preview.,Closed,4/25/2025,4/27/2025
Q0086,dwayne81@example.com,889469595,UI Feedback,Filter section takes too much space.,Closed,7/21/2025,7/31/2025
Q0087,nwall@example.net,6786351574,Login Issue,Forgot my password and reset isn’t working.,Closed,1/31/2025,2/9/2025
Q0088,matthewcurry@example.com,4475409658,Data Export,Can’t schedule data export.,Closed,5/7/2025,5/11/2025
Q0089,martinchristopher@example.com,3150651926,Bug Report,Chart not updating after data refresh.,Closed,3/19/2025,4/2/2025
Q0090,hbaker@example.net,8272736746,Login Issue,Error 401 appearing on login.,Closed,4/23/2025,4/28/2025
Q0091,ujohnson@example.net,1080952307,Technical Support,Slow performance during peak hours.,Closed,4/16/2025,4/19/2025
Q0092,bethanysimmons@example.org,7636011241,Data Export,Zip file corrupted during export.,Closed,2/21/2025,2/24/2025
Q0093,fgates@example.org,8349428717,Technical Support,Can’t install latest update.,Closed,5/31/2025,6/13/2025
Q0094,jasminewashington@example.com,3443854885,Data Export,Export email not received.,Closed,4/16/2025,4/25/2025
Q0095,campbellalan@example.com,9854809652,Billing Problem,Incorrect tax calculations.,Closed,1/29/2025,2/1/2025
Q0096,michellejones@example.org,608468228,Subscription Cancellation,Received cancellation email but charged again.,Closed,6/6/2025,6/7/2025
Q0097,vjohnson@example.org,8843342950,Feature Request,Need in-app video tutorials.,Closed,2/4/2025,2/10/2025
Q0098,robinsonjacqueline@example.net,7146510641,Technical Support,Notifications are not working.,Closed,6/11/2025,6/14/2025
Q0099,amanda58@example.com,5673327709,Data Export,Exported PDF looks blank.,Closed,7/9/2025,7/21/2025
Q0100,turnerricardo@example.org,4582284595,Data Export,Time range in export is incorrect.,Closed,2/12/2025,2/25/2025
Q0101,ymendoza@example.com,2226525748,Payment Failure,Bank transaction shows pending.,Closed,4/24/2025,5/3/2025
Q0102,nicholas05@example.org,9511429556,Technical Support,Getting JSON decode error.,Closed,4/1/2025,4/2/2025
Q0103,jenniferroberts@example.com,5589526122,Login Issue,Unable to login with correct credentials.,Closed,4/19/2025,4/21/2025
Q0104,dfuller@example.com,1090588018,Technical Support,White screen on startup.,Closed,5/2/2025,5/7/2025
Q0105,eellis@example.org,1267351706,Subscription Cancellation,Was offered discount after cancel — still charged full.,Closed,4/10/2025,4/11/2025
Q0106,oclarke@example.net,8044954993,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,2/23/2025,3/10/2025
Q0107,bryanhudson@example.com,1829817058,Feature Request,Would like push notifications for updates.,Closed,6/21/2025,6/22/2025
Q0108,jacksonashley@example.org,3498140888,Subscription Cancellation,Received cancellation email but charged again.,Closed,3/25/2025,3/26/2025
Q0109,lauranorris@example.net,6696961385,Billing Problem,Bill shows usage I didn’t make.,Closed,2/6/2025,2/21/2025
Q0110,hayskyle@example.com,8114549073,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,5/17/2025,5/26/2025
Q0111,johnmcdowell@example.com,8548971451,Login Issue,Login working on browser but not app.,Closed,5/9/2025,5/23/2025
Q0112,jaredbriggs@example.com,9436772822,Bug Report,Chart not updating after data refresh.,Closed,6/4/2025,6/13/2025
Q0113,renee63@example.com,666160520,Bug Report,Reports section not opening.,Closed,3/10/2025,3/14/2025
Q0114,hayestraci@example.com,5336123083,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,4/7/2025,4/10/2025
Q0115,wsalazar@example.com,9964147740,Login Issue,Session expires immediately after login.,Closed,7/24/2025,7/26/2025
Q0116,brooke41@example.com,7838481278,Login Issue,Seeing 'invalid session token' error.,Closed,2/18/2025,2/19/2025
Q0117,codycalhoun@example.org,5155668344,Feature Request,Multi-user role system would help.,Closed,2/21/2025,2/23/2025
Q0118,virginia04@example.com,4776889228,Subscription Cancellation,Received cancellation email but charged again.,Closed,7/25/2025,8/1/2025
Q0119,juliegriffin@example.com,3103165838,Bug Report,Date selector not responsive.,Closed,6/29/2025,7/4/2025
Q0120,cynthiamathews@example.org,9248696404,Payment Failure,Payment gateway not redirecting.,Closed,3/3/2025,3/5/2025
Q0121,sbaxter@example.org,6494163603,Feature Request,Ability to bulk edit entries needed.,Closed,5/24/2025,5/25/2025
Q0122,warrensusan@example.com,5552831330,Payment Failure,Need confirmation after retry.,Closed,5/2/2025,5/14/2025
Q0123,mossdavid@example.org,6873257806,UI Feedback,Mobile responsiveness needs improvement.,Closed,6/26/2025,7/4/2025
Q0124,smithmegan@example.net,1280459229,Login Issue,Cannot log in on mobile app.,Closed,1/29/2025,2/7/2025
Q0125,carpenterelizabeth@example.net,8796313550,UI Feedback,Font inconsistent across pages.,Closed,4/25/2025,4/26/2025
Q0126,dfisher@example.net,4578997498,Login Issue,Login working on browser but not app.,Closed,6/1/2025,6/3/2025
Q0127,flemingbrandon@example.org,9992235599,Bug Report,Blank screen after form submission.,Closed,5/2/2025,5/18/2025
Q0128,smatthews@example.org,9878160821,Account Suspension,Can’t access services due to ban.,Closed,6/24/2025,6/25/2025
Q0129,edwin98@example.net,2149646307,UI Feedback,Graphs too compressed on mobile view.,Closed,3/27/2025,4/4/2025
Q0130,amanda10@example.com,154235856,Account Suspension,Support says I’m blacklisted — why?,Closed,4/11/2025,4/13/2025
Q0131,lwagner@example.net,4546939886,Data Export,Can’t schedule data export.,Closed,5/1/2025,5/2/2025
Q0132,bernardrobinson@example.org,9979048078,Bug Report,Sidebar collapses on scroll.,Closed,5/27/2025,5/28/2025
Q0133,heather85@example.net,7000287242,Bug Report,Date selector not responsive.,Closed,5/17/2025,5/22/2025
Q0134,smithnicole@example.com,6469014856,Data Export,Auto-export not working on Fridays.,Closed,3/27/2025,4/3/2025
Q0135,pagenicholas@example.net,2125490550,Technical Support,Download button is inactive.,Closed,7/7/2025,7/10/2025
Q0136,savagemelissa@example.org,7738648797,Data Export,Need export in regional time zone.,Closed,2/17/2025,2/19/2025
Q0137,srodriguez@example.com,9826356826,Billing Problem,Amount charged doesn’t match pricing plan.,Closed,2/23/2025,2/27/2025
Q0138,annkeller@example.com,5129723443,Login Issue,Forgot my password and reset isn’t working.,Closed,5/27/2025,6/1/2025
Q0139,chelsey42@example.net,8214713059,Subscription Cancellation,Cancelled but dashboard shows active.,Closed,2/2/2025,2/9/2025
Q0140,jennifer89@example.org,1403322177,Technical Support,App crashes after update.,Closed,1/30/2025,2/3/2025
Q0141,andrewgarrison@example.com,8368522186,Billing Problem,Late fee charged wrongly.,Closed,4/5/2025,4/9/2025
Q0142,timothyjimenez@example.org,4994113556,UI Feedback,Sidebar hides important links.,Closed,2/20/2025,3/5/2025
Q0143,hponce@example.com,1192619365,Subscription Cancellation,Need proof of cancellation for records.,Closed,6/28/2025,7/9/2025
Q0144,ynash@example.com,630475489,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,4/8/2025,4/15/2025
Q0145,murraymichael@example.net,7119256146,Login Issue,Cannot log in on mobile app.,Closed,7/27/2025,7/28/2025
Q0146,qjackson@example.com,3873891524,Account Suspension,Received policy violation but unclear why.,Closed,3/9/2025,3/10/2025
Q0147,luis48@example.org,3697659354,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,3/23/2025,3/26/2025
Q0148,sharon35@example.org,1110058418,Payment Failure,Need confirmation after retry.,Closed,4/21/2025,5/6/2025
Q0149,angela94@example.net,5586828570,Data Export,Export email not received.,Closed,6/15/2025,6/26/2025
Q0150,mitchellspencer@example.net,7000051016,Technical Support,Freezing during screen load.,Closed,3/26/2025,4/7/2025
Q0151,ynoble@example.net,4109768749,Subscription Cancellation,Need proof of cancellation for records.,Closed,6/18/2025,6/19/2025
Q0152,jonathan21@example.org,3081551624,Account Suspension,Can I restore my data after suspension?,Closed,5/29/2025,5/30/2025
Q0153,susanmartinez@example.com,5108989167,Payment Failure,Payment failed due to card error.,Closed,4/20/2025,5/4/2025
Q0154,jesseallen@example.org,6973456006,Subscription Cancellation,Accidentally cancelled wrong plan.,Closed,4/25/2025,4/27/2025
Q0155,elizabeth41@example.org,1910174367,Login Issue,Redirect loop after logging in.,Closed,3/7/2025,3/9/2025
Q0156,megan12@example.com,5306644570,Payment Failure,Payment failed due to card error.,Closed,6/22/2025,6/30/2025
Q0157,evillegas@example.com,1992625220,Billing Problem,Refund not credited after 7 days.,Closed,5/21/2025,5/23/2025
Q0158,mcollins@example.org,239222014,Login Issue,Seeing 'invalid session token' error.,Closed,5/11/2025,5/13/2025
Q0159,wgoodwin@example.net,5223214561,Login Issue,Redirect loop after logging in.,Closed,1/29/2025,2/1/2025
Q0160,ojackson@example.org,1552229706,Feature Request,Suggesting calendar integration.,Closed,6/15/2025,6/17/2025
Q0161,ashley76@example.net,2606294215,Feature Request,Can you include language translation?,Closed,4/18/2025,4/19/2025
Q0162,hward@example.com,6955537574,UI Feedback,Text is too small on mobile.,Closed,4/19/2025,4/29/2025
Q0163,erincurtis@example.net,518945887,UI Feedback,Buttons overlap on smaller screens.,Closed,7/6/2025,7/23/2025
Q0164,tabitha87@example.com,8785429955,Payment Failure,Need GST invoice after payment.,Closed,7/20/2025,7/22/2025
Q0165,tjenkins@example.org,8958642175,UI Feedback,Error messages not clear enough.,Closed,6/18/2025,6/22/2025
Q0166,deborah91@example.net,3053453784,Bug Report,Filter not retaining after refresh.,Closed,3/1/2025,3/6/2025
Q0167,rickey61@example.com,1098614819,Login Issue,Unable to login with correct credentials.,Closed,4/16/2025,4/24/2025
Q0168,jbradley@example.org,5715274799,Subscription Cancellation,Need proof of cancellation for records.,Closed,5/30/2025,6/1/2025
Q0169,nancy39@example.net,9744030885,Account Suspension,Terms of use were unclear.,Opened,3/15/2025,
Q0170,igraves@example.net,6782558206,Billing Problem,Promo code was not applied.,Closed,2/21/2025,3/8/2025
Q0171,iburnett@example.net,443398912,Payment Failure,Payment success mail delayed.,Closed,7/23/2025,7/29/2025
Q0172,suzanneyates@example.org,1846149954,Bug Report,Page crashes on click of ‘submit’.,Closed,3/4/2025,3/6/2025
Q0173,emiller@example.com,1727807012,Feature Request,Request feature to duplicate projects.,Closed,2/14/2025,2/15/2025
Q0174,omarquez@example.org,8788556410,Technical Support,Can’t sync data across devices.,Closed,4/11/2025,4/13/2025
Q0175,stephen40@example.net,5589305516,Login Issue,Account seems to be disabled.,Closed,6/9/2025,6/17/2025
Q0176,jessicawoods@example.org,4649890949,Billing Problem,Invoice PDF is missing this month.,Closed,6/4/2025,6/5/2025
Q0177,mrivas@example.org,9446982828,Feature Request,Save filter views for reuse.,Closed,4/10/2025,4/15/2025
Q0178,johndixon@example.org,618851676,Login Issue,Seeing 'invalid session token' error.,Closed,3/25/2025,3/26/2025
Q0179,norrisandrew@example.net,5240040734,Subscription Cancellation,Cannot downgrade before cancel.,Closed,5/19/2025,5/21/2025
Q0180,charlesgarcia@example.org,5614138376,Data Export,Need export in regional time zone.,Closed,4/6/2025,4/21/2025
Q0181,vjenkins@example.net,6671891055,Feature Request,Provide more chart types in dashboard.,Closed,2/14/2025,2/17/2025
Q0182,dgay@example.com,8473734892,Feature Request,Add folder structure to organize data.,Closed,5/28/2025,6/3/2025
Q0183,jamesmccoy@example.org,6514461218,Account Suspension,Received policy violation but unclear why.,Closed,2/13/2025,2/17/2025
Q0184,david08@example.com,5977177824,UI Feedback,Mobile responsiveness needs improvement.,Closed,6/10/2025,6/13/2025
Q0185,gmiller@example.com,8998856822,Billing Problem,Amount charged doesn’t match pricing plan.,Closed,4/26/2025,4/27/2025
Q0186,nathan10@example.net,8755106653,Subscription Cancellation,App locked after cancellation.,Closed,2/22/2025,2/24/2025
Q0187,katherinestrickland@example.com,7449435875,Bug Report,Reports section not opening.,Closed,2/2/2025,2/8/2025
Q0188,fharding@example.org,4422713519,UI Feedback,Dropdowns too close together.,Closed,5/1/2025,5/4/2025
Q0189,irichards@example.net,1767304475,UI Feedback,Color scheme hard to read in sunlight.,Closed,5/24/2025,6/5/2025
Q0190,james29@example.org,4584160403,Data Export,Need export in regional time zone.,Closed,5/10/2025,5/11/2025
Q0191,michellesimmons@example.org,5755635790,Billing Problem,Charged extra on my last invoice.,Closed,5/16/2025,5/26/2025
Q0192,jenkinsaustin@example.net,8155177874,Billing Problem,Duplicate transaction found.,Closed,7/25/2025,7/31/2025
Q0193,brittney39@example.com,188405714,Account Suspension,Appeal submitted but no response yet.,Closed,7/16/2025,7/19/2025
Q0194,karen99@example.org,8336811161,UI Feedback,Error messages not clear enough.,Closed,7/22/2025,7/29/2025
Q0195,grayamanda@example.org,6198804391,Subscription Cancellation,Wrong account cancelled.,Closed,5/28/2025,5/29/2025
Q0196,martinkrista@example.com,5658944055,Payment Failure,Payment shows success but app locked.,Closed,3/10/2025,3/11/2025
Q0197,nancy37@example.org,1256015851,Login Issue,Session expires immediately after login.,Closed,3/29/2025,3/31/2025
Q0198,audreyguerra@example.com,111569305,Payment Failure,Payment success mail delayed.,Closed,6/25/2025,7/12/2025
Q0199,jasonboyd@example.net,3736483107,Technical Support,Graphs not rendering properly.,Closed,3/2/2025,3/7/2025
Q0200,lawrencelori@example.com,2595230180,Account Suspension,Suspension mail was too vague.,Closed,2/28/2025,3/7/2025
Q0201,cody52@example.net,2999477604,Account Suspension,Received policy violation but unclear why.,Closed,2/11/2025,2/13/2025
Q0202,karen26@example.com,1573709413,Billing Problem,Duplicate transaction found.,Closed,2/7/2025,2/13/2025
Q0203,jenniferbutler@example.org,6209796060,Account Suspension,Suspension mail was too vague.,Closed,6/5/2025,6/7/2025
Q0204,tevans@example.org,2663687296,UI Feedback,Graphs too compressed on mobile view.,Closed,2/19/2025,2/24/2025
Q0205,mcdowelllori@example.com,3718137459,Technical Support,Freezing during screen load.,Closed,7/24/2025,7/25/2025
Q0206,janetrodriguez@example.net,2614890685,Technical Support,Settings not saving properly.,Closed,7/11/2025,7/12/2025
Q0207,ortegaanthony@example.net,1766433053,Feature Request,Ability to bulk edit entries needed.,Closed,6/3/2025,6/4/2025
Q0208,armstrongcarla@example.net,5891755681,Billing Problem,Need clarification on currency charges.,Closed,5/8/2025,5/10/2025
Q0209,jasmineaguilar@example.org,2443069802,Data Export,Export email not received.,Closed,5/9/2025,5/12/2025
Q0210,ocollins@example.org,6051289595,Account Suspension,"Got auto-ban, never violated terms.",Closed,3/26/2025,4/8/2025
Q0211,emedina@example.com,2923814086,Payment Failure,Need help with failed subscription payment.,Closed,3/28/2025,4/15/2025
Q0212,annaschroeder@example.org,7008431148,Feature Request,Can we have auto-save for drafts?,Closed,5/27/2025,5/28/2025
Q0213,walkerjeffrey@example.net,9445730101,Subscription Cancellation,Still charged after cancellation.,Closed,3/14/2025,3/17/2025
Q0214,mariah48@example.net,946234164,Login Issue,Captcha keeps looping during login.,Closed,6/10/2025,6/15/2025
Q0215,ggarrett@example.net,8007045702,UI Feedback,Table headers not sticky.,Closed,6/5/2025,6/6/2025
Q0216,fredrivera@example.org,1037451071,UI Feedback,Buttons overlap on smaller screens.,Closed,2/4/2025,2/7/2025
Q0217,jrichards@example.com,9286367033,Technical Support,Settings not saving properly.,Closed,3/25/2025,4/1/2025
Q0218,qcarpenter@example.com,6870409736,Bug Report,Sidebar collapses on scroll.,Closed,4/27/2025,4/28/2025
Q0219,christinegomez@example.com,1456516442,Account Suspension,Need reason for my suspension.,Closed,5/13/2025,5/17/2025
Q0220,dbrown@example.org,9334409005,UI Feedback,Error messages not clear enough.,Closed,5/12/2025,5/13/2025
Q0221,patriciahernandez@example.org,3641228037,Account Suspension,Got a warning mail I don’t understand.,Closed,2/23/2025,2/27/2025
Q0222,uhorton@example.net,6206059787,UI Feedback,Sidebar hides important links.,Closed,3/3/2025,3/5/2025
Q0223,wrodriguez@example.net,1494495384,Billing Problem,Refund not credited after 7 days.,Closed,3/9/2025,3/10/2025
Q0224,lauren08@example.net,5772464044,Account Suspension,Got a warning mail I don’t understand.,Closed,4/20/2025,4/25/2025
Q0225,cbeard@example.org,7162509112,Bug Report,Back button doesn’t work.,Closed,5/15/2025,5/18/2025
Q0226,mjacobs@example.com,8103914683,Account Suspension,Unjustified account suspension request.,Closed,7/15/2025,8/1/2025
Q0227,schroederjessica@example.com,3111806534,Billing Problem,Refund not credited after 7 days.,Closed,5/29/2025,5/31/2025
Q0228,rdaniel@example.com,6261117528,Bug Report,Form validation not working properly.,Closed,1/29/2025,2/4/2025
Q0229,swells@example.net,8353715804,Account Suspension,Need reason for my suspension.,Closed,2/9/2025,2/14/2025
Q0230,mbaker@example.net,8852490220,Billing Problem,Refund not credited after 7 days.,Closed,5/1/2025,5/7/2025
Q0231,garciapriscilla@example.org,8373116543,Billing Problem,Billing cycle was reset unexpectedly.,Closed,5/27/2025,5/28/2025
Q0232,gvillarreal@example.net,8373378180,Account Suspension,Account banned during payment process.,Closed,5/17/2025,5/21/2025
Q0233,flopez@example.net,5808628168,Payment Failure,Charged twice for one payment.,Closed,4/1/2025,4/2/2025
Q0234,logandiane@example.net,5963961112,Billing Problem,Invoice PDF is missing this month.,Closed,2/4/2025,2/6/2025
Q0235,kevinmyers@example.net,5416214781,UI Feedback,Sidebar hides important links.,Closed,5/12/2025,5/13/2025
Q0236,elaine66@example.com,6043454136,Account Suspension,Received policy violation but unclear why.,Closed,7/17/2025,7/27/2025
Q0237,michael21@example.com,9852052552,Account Suspension,Received policy violation but unclear why.,Closed,4/1/2025,4/18/2025
Q0238,tracieblanchard@example.org,1284698771,Data Export,Need export in regional time zone.,Closed,5/15/2025,5/30/2025
Q0239,ichaney@example.net,4695154090,Feature Request,Please add support for dark mode.,Closed,1/29/2025,2/10/2025
Q0240,kingmelissa@example.org,929261250,UI Feedback,Icons not intuitive.,Closed,7/12/2025,7/22/2025
Q0241,fernandezbenjamin@example.net,2252780324,UI Feedback,Font inconsistent across pages.,Closed,7/23/2025,7/30/2025
Q0242,hhowell@example.org,1605039831,Bug Report,Blank screen after form submission.,Closed,5/20/2025,5/23/2025
Q0243,ortizapril@example.org,2283752756,UI Feedback,Font inconsistent across pages.,Closed,6/21/2025,6/24/2025
Q0244,bakerjenna@example.com,5728701021,Account Suspension,Support says I’m blacklisted — why?,Closed,5/20/2025,6/3/2025
